latitude;longitude;band1;band2;band3;band4;band5;band6;band7;Value
-8640900;97200;3529.49769585253;5094.71889400922;3480.8801843318;3639.63133640553;4994.77880184332;3562.96313364055;2239.8801843318;239.515126107786
-8692650;249300;3380.77959183673;4799.61632653061;3442.36326530612;3534.61632653061;4594.14285714286;3205.74285714286;1874.68979591837;203.382588845406
-8663400;177300;3009.12663755459;4301.10043668122;3075.17903930131;3153.36244541485;4233.53711790393;3004.85589519651;1786.12227074236;200.910425475592
-8627400;143550;2248.19215686274;3871.55294117647;2151.50980392157;2359.4;3935.33333333333;2823.42745098039;1695.81176470588;232.053082717762
-8758800;156150;3362.49367088608;4927.51476793249;3402.48945147679;3522.31223628692;4724.85654008439;3516.67510548523;2152.54852320675;198.663435833303
-8740800;185400;3371.05809128631;4657.16182572614;3440.2531120332;3519.46473029046;4500.19917012448;3308.11203319502;2036.47302904564;198.983942208605
-8617500;70200;4062.11956521739;4640.38043478261;4081.39130434783;4115.88043478261;4443.39130434783;3286.4347826087;2092.19565217391;233.842932718412
-8681400;180450;3335.60434782609;4493.57826086957;3370.73043478261;3465.65217391304;4358.45652173913;3226.22173913043;1976.58695652174;201.483860024148
-8616600;151200;2722.55426356589;4263.74031007752;2628.06589147287;2808.33720930233;4386.99612403101;3105.60852713178;1846.10465116279;240.072702782223
-8725950;246600;3486.26146788991;4796.88532110092;3541.02293577982;3629.54587155963;4618.99082568807;3247.30275229358;1936.94036697248;207.764249509859
-8581050;145800;3555.11881188119;4636.55445544554;3538.35148514851;3636.77722772277;4519.25247524752;3230.83168316832;2015.86138613861;237.705878399987
-8643150;184050;3345.75663716814;4698.50884955752;3350.75221238938;3476.65486725664;4668.44690265487;3380.07522123894;2028.0796460177;216.52438194375
-8719200;287100;3390.43946188341;3936.82959641256;3396.73094170404;3532.08968609865;3712.46188340807;2742.77578475336;1730.18834080717;201.439312298811
-8657550;173700;3990.89361702128;4889.95744680851;3970.96276595745;4081.35638297872;4688.43085106383;3478.83510638298;2129.32446808511;214.504554472713
-8616150;54900;4282.57142857143;5035.98979591837;4265.59183673469;4354.65306122449;4758.32653061224;3580.70408163265;2294.65306122449;226.822457572255
