latitude;longitude;band1;band2;band3;band4;band5;band6;band7;Value
-8663400;225000;2953.896;4144.288;3097.268;3110.988;4094;2977.16;1767.2;193.40821360447
-8690400;285300;2976.9;3819.596;3078.892;3118.688;3677.844;2673.32;1661.02;201.391323861154
-8716050;210150;3166.62139917695;4669.58436213992;3369.0987654321;3339.40740740741;4538.22633744856;3242.329218107;1961.55144032922;201.000447122372
-8642700;125550;3106.71063829787;4671.01276595745;3154.36595744681;3221.03404255319;4718.12765957447;3375.9829787234;2108.73191489362;241.042300113927
-8604450;75600;4430.9880952381;5009.47619047619;4729.21428571429;4550.61904761905;4812.57142857143;3508.14285714286;2201.02380952381;207.098390094216
-8723250;119700;3447.2466367713;4623.47085201794;3633.81165919283;3612.11210762332;4565.91479820628;3337.81165919283;2003.2735426009;196.233615258452
-8637750;120600;3115.26694915254;4593.41101694915;3161.81355932203;3225.61440677966;4640.56355932203;3512.79661016949;2243.52966101695;233.772852275039
-8624250;238050;2333.3152173913;4097.4384057971;2454.30797101449;2508.3152173913;4192.86594202899;2871.32608695652;1576.28623188406;204.857326771398
-8671050;239400;3000.31967213115;4158.13114754098;3125.36475409836;3151.25409836066;4115.49180327869;2977.44672131148;1816.31147540984;195.091418471951
-8707500;265950;3112.6968503937;4550.38188976378;3302.29133858268;3282.17322834646;4399.91338582677;3049.38188976378;1805.05905511811;198.13011754178
-8680950;151650;4230.43119266055;5071.29357798165;4390.93577981651;4365.77981651376;4903.48165137615;3640.6376146789;2209.85321100917;196.943484198143
-8725950;215550;3158.93073593074;4476.85714285714;3346.94805194805;3323.05627705628;4382.03463203463;3200.49783549784;1964.87878787879;196.784944969478
-8767800;174600;3175.58181818182;4514.50454545455;3335.89545454545;3336.2;4338.34545454545;3243.58636363636;1996.3;195.859933682591
-8653500;196650;3113.70338983051;4579.3093220339;3261.58898305085;3283.03389830508;4524.27542372881;3210.81779661017;1901.50423728814;202.17083372279
-8604900;113850;3765.6978021978;4756.62087912088;3921.33516483516;3860.91208791209;4770.79120879121;3448.74725274725;2149.14285714286;238.007086268171
-8691300;224550;2968.69955156951;4328.45291479821;3110.66816143498;3130.09417040359;4283.80269058296;3072.40807174888;1831.78475336323;196.102673043562
-8738100;169650;3292.75;4564.49603174603;3486.53174603175;3462.75;4522.80952380952;3326.63095238095;2051.89285714286;197.074275623782
-8734950;170550;3290.83127572016;4549.11111111111;3463.69547325103;3449.89300411523;4474.18106995885;3358.65432098765;2071.99588477366;196.321860225937
-8717400;137700;2854.84647302905;4070.27385892116;3010.20746887967;3016.47717842324;4028.28215767635;2993.80082987552;1833.53941908714;196.138736581464
-8784900;193050;3009.45867768595;3939.88016528926;3191.97520661157;3178.02892561983;3815.39256198347;2807.94214876033;1788.01652892562;197.413997456946
-8598600;84150;3635.27611940298;4570.75373134328;3854.20149253731;3756.98507462687;4516.07462686567;3331.82089552239;2080.35820895522;210.315179904515
