latitude;longitude;band1;band2;band3;band4;band5;band6;band7;Value
-8606250;137250;3169.25480769231;4429.98557692308;3261.44230769231;3280.50480769231;4429.52403846154;3327.12980769231;2094.74038461538;222.286842907584
-8590500;142200;3324.63513513513;4736.57207207207;3438.64864864865;3468.14864864865;4740.83783783784;3389.48648648649;2041.38288288288;225.923035408576
-8721000;139050;3433.10526315789;4485.23684210526;3672.20175438596;3600.7149122807;4454.13596491228;3350.32894736842;2058.63596491228;195.14423377498
-8747550;151200;3579.90497737557;4818.18099547511;3789.47511312217;3759.14027149321;4732.592760181;3638.58823529412;2275.25339366516;197.44616757167
-8598600;154800;2204.55471698113;3668.4;2194.54339622642;2284.38490566038;4007.63018867925;2988.81886792453;1779.66037735849;237.964157238908
-8690850;130500;3277.84545454545;4504.07727272727;3424.89090909091;3420.77272727273;4474.93636363636;3249.85909090909;2017.79090909091;206.441459226744
-8632350;97200;3163.46889952153;4586.0956937799;3276.21531100478;3287.08133971292;4532.56459330144;3356.17703349282;2137.85645933014;224.504120930999
-8648550;194400;3912.58048780488;5032.95609756098;4065.0243902439;4066.29268292683;4891.06829268293;3607;2198.39512195122;197.410540571915
-8700300;157950;3829.76836158192;4694.18644067797;4040.29943502825;3977.87570621469;4584.02824858757;3424.88700564972;2095.80225988701;196.237557875469
-8682300;228600;3518.69469026549;4601.35398230089;3722.8982300885;3684.15044247788;4564.03982300885;3379.38938053097;2077.99557522124;196.523474945807
-8711100;287100;3097;3780.11203319502;3305.84232365145;3288.07468879668;3663.1867219917;2741.67634854772;1714.79253112033;197.056237741477
-8695800;288000;3436.92276422764;4234.74796747968;3678.24796747967;3626.89837398374;4104.0243902439;3038.43089430894;1908.89430894309;196.9578444409
-8646300;215550;3641.45217391304;4680.67826086956;3851.70869565217;3800.50434782609;4583.10434782609;3377.90869565217;2046.17826086957;196.301474013165
-8689950;248850;3462.23660714286;4657.58035714286;3645.33928571429;3634.02678571429;4608.16517857143;3380.11607142857;2072.85714285714;196.953629882059
-8704800;143100;3850.65432098765;4713.01851851852;4044.60493827161;3993.93827160494;4625.66666666667;3457.32716049383;2166.87654320988;197.669343659538
-8783550;197100;2899.77027027027;3205.57657657658;3153.35135135135;3077.36486486487;3151.80630630631;2592.86036036036;1754.60810810811;197.082915101105
-8724600;186300;3615.15789473684;4945.86234817814;3876.55870445344;3803.0971659919;4841.50607287449;3572.68016194332;2201.33603238866;196.55302312782
-8620200;118350;2808.18777292576;3961.41484716157;2872.00873362445;2899.82096069869;4185.6768558952;3195.31004366812;2041.03056768559;234.284004168702
-8593650;60300;3159.70520231214;4545.90173410405;3359.63005780347;3324.34682080925;4519.09248554913;3247.34104046243;2060.58959537572;214.701330945204
-8601750;142200;3228.64976958525;4426.12442396313;3361.24884792627;3334.59907834101;4431.29493087558;3102.69124423963;1892.52534562212;238.102642234399
-8788050;188550;3599.33333333333;4435.35211267606;3784.15492957746;3762.2676056338;4366.46948356807;3391.05633802817;2248.47417840376;200.532602895759
-8561250;150750;4005.04901960784;4817.30392156863;4267.22549019608;4112.05882352941;4633.01960784314;3318.96078431373;2037.09803921569;219.031350146578
-8665650;195300;4003.33689839572;4862.2192513369;4182.73262032086;4157.87700534759;4723.3422459893;3605.61497326203;2234.54010695187;195.664249350158
-8666550;238500;3477.29387755102;4527.94693877551;3659.68163265306;3651.51428571429;4465.39591836735;3334.25714285714;2053.57142857143;195.465914693671
-8772300;192150;3792.48058252427;4911.27669902913;4000.93689320388;3955.00970873786;4800.45145631068;3667.57281553398;2338.91747572816;199.648997498165
-8584650;163350;2396.62773722628;3953.69708029197;2452.78832116788;2506.28832116788;4046.45255474453;2914.01459854015;1772.66423357664;236.575960178183
-8676000;130500;3111.248;4542.216;3266.544;3277.304;4529.776;3242.464;2009.804;205.939614913207
-8597700;121050;3513.38414634146;4604.86585365854;3719.87804878049;3622.30487804878;4526.58536585366;3309.96341463415;2109.89634146341;229.68148966894
-8622450;218700;3678.64556962025;4738.39240506329;3829.41772151899;3819.20253164557;4721.06329113924;3407.91561181435;2067.24894514768;206.210875484252
-8719200;141300;3587.61764705882;4592.66176470588;3826.21568627451;3749.97058823529;4482.19117647059;3450.86764705882;2118.09803921569;195.518187495896
-8740350;241650;3782.984375;4953.578125;4050.27604166667;3959.27083333333;4791.265625;3521.93229166667;2166.27083333333;196.570567492921
-8702550;217350;3637.31578947368;4893.35087719298;3891.05701754386;3821.38157894737;4780.40350877193;3524.61842105263;2162.81578947368;196.21589758239
-8613000;105300;4189.51428571429;4765.76428571429;4422.81428571429;4264.94285714286;4709.55714285714;3410.45;2109.57142857143;229.037673103945
-8719650;252000;3542.74008810573;4892.82378854626;3776.14977973568;3722.90748898678;4778.25991189427;3455.49779735683;2062.35682819383;198.852164504676
-8587800;103500;3633.67857142857;4426.24285714286;3884.56428571429;3744.09285714286;4327.87857142857;3009.7;1841.10714285714;224.425594208098
-8747100;194850;3527.85087719298;4577.98684210526;3746.58771929825;3691.32894736842;4396.47368421053;3353.10526315789;2170.91666666667;197.370633505233
-8702550;270900;3709.85714285714;4894.75446428571;3977.125;3893.87946428571;4700.76785714286;3413.8125;2092.32142857143;196.355828832174
-8686350;104850;2952.13839285714;4220.95535714286;3093.44642857143;3073.05357142857;4228.55357142857;2950.09375;1855.66517857143;235.353482467968
