id,name,latitude,longitude,date_part,avg,,,,,,,,,
184,Granja La Florida,1.300711,-77.415234,8,1620.9000000033,,,,,,,,,
184,Granja La Florida,1.300711,-77.415234,9,1620.899999999,,,,,,,,,
184,Granja La Florida,1.300711,-77.415234,10,1620.8999999999,,,,,,,,,
202,GranjaObonuco,1.193458,-77.305556,6,32.7432163436,,,,,,,,,
202,GranjaObonuco,1.193458,-77.305556,7,34.2851601416,,,,,,,,,
202,GranjaObonuco,1.193458,-77.305556,8,31.1748722034,,,,,,,,,
202,GranjaObonuco,1.193458,-77.305556,9,37.9849718025,,,,,,,,,
190,GranjaPupiales,0.867483,-77.624667,6,18.5388304221,,,,,,,,,
190,GranjaPupiales,0.867483,-77.624667,7,13.3175846154,,,,,,,,,
190,GranjaPupiales,0.867483,-77.624667,8,23.3854241414,,,,,,,,,
190,GranjaPupiales,0.867483,-77.624667,9,27.5787591844,,,,,,,,,
172,GranjaSanJoseAlban,1.476187,-77.081584,6,5.53915,,,,,,,,,
172,GranjaSanJoseAlban,1.476187,-77.081584,7,4.3569379777,,,,,,,,,
172,GranjaSanJoseAlban,1.476187,-77.081584,8,4.0976813775,,,,,,,,,
172,GranjaSanJoseAlban,1.476187,-77.081584,9,6.3329354443,,,,,,,,,
172,GranjaSanJoseAlban,1.476187,-77.081584,10,6.5062296219,,,,,,,,,
176,GranjaSanLorenzo,1.503858,-77.219125,6,46.8535283179,,,,,,,,,
176,GranjaSanLorenzo,1.503858,-77.219125,7,34.0804498656,,,,,,,,,
176,GranjaSanLorenzo,1.503858,-77.219125,8,49.427883045,,,,,,,,,
176,GranjaSanLorenzo,1.503858,-77.219125,9,43.1842615848,,,,,,,,,
176,GranjaSanLorenzo,1.503858,-77.219125,10,38.8704996063,,,,,,,,,
176,GranjaSanLorenzo,1.503858,-77.219125,11,33.3073366446,,,,,,,,,
200,GranjaSantaBarbara,1.078422,-77.305544,6,38.4476222798,,,,,,,,,
200,GranjaSantaBarbara,1.078422,-77.305544,7,38.9031764573,,,,,,,,,
220,Estación SantaBarbara,2.616667,-78.066667,9,1146.2717647059,,,,,,,,,
220,Estación SantaBarbara,2.616667,-78.066667,10,1251.1383870968,,,,,,,,,
200,GranjaSantaBarbara,1.078422,-77.305544,8,36.1552600084,,,,,,,,,
196,GranjaTuquerres,1.0926,-77.5897,6,33.0441183039,,,,,,,,,
196,GranjaTuquerres,1.0926,-77.5897,7,33.2779304816,,,,,,,,,
196,GranjaTuquerres,1.0926,-77.5897,8,32.6704383756,,,,,,,,,
196,GranjaTuquerres,1.0926,-77.5897,9,38.4918749308,,,,,,,,,
196,GranjaTuquerres,1.0926,-77.5897,10,30.8143632452,,,,,,,,,
196,GranjaTuquerres,1.0926,-77.5897,11,32.9318412547,,,,,,,,,
183,GranjaYacuanquer,1.11354,-77.40561,6,21.8324984434,,,,,,,,,
183,GranjaYacuanquer,1.11354,-77.40561,7,20.6379320998,,,,,,,,,
183,GranjaYacuanquer,1.11354,-77.40561,8,20.1532109735,,,,,,,,,
183,GranjaYacuanquer,1.11354,-77.40561,9,21.1568694761,,,,,,,,,
183,GranjaYacuanquer,1.11354,-77.40561,10,21.2912744293,,,,,,,,,
183,GranjaYacuanquer,1.11354,-77.40561,11,54.6962871106,,,,,,,,,
183,GranjaYacuanquer,1.11354,-77.40561,12,17.2234888282,,,,,,,,,
